Key,japanese
armorSteelSetSchematicDesc,スチール系アーマーのクラフトがアンロックされます。クラフト品質はパーク等のレベルの影響を受けます。
attactionskills,アクションスキル
attActionSkillsDesc,それぞれ対応された行動で経験値が得られ、レベルアップ毎にステータス効果が得られます。
attActionSkillsName,アクションスキル
attAgilityRank1Desc,機器はあなたの強いスーツではなく、少し練習で何もできます。\n\n和訳修正中:attAgilityRank1Desc
attAgilityRank2Desc,最大スタミナ:+110,安全落下距離:+1m
attAgilityRank3Desc,最大スタミナ:+120,安全落下距離:+1m
attAgilityRank4Desc,最大スタミナ:+130,安全落下距離:+2m,ジャンプ力:+1m
attAgilityRank5Desc,最大スタミナ:+140,安全落下距離:+2m,ジャンプ力:+1m
attAgilityRank6Desc,最大スタミナ:+150,安全落下距離:+3m,ジャンプ力:+1m
attAgilityRank7Desc,最大スタミナ:+160,安全落下距離:+3m,捻挫耐性
attAgilityRank8Desc,最大スタミナ:+170,安全落下距離:+4m,捻挫耐性
attAgilityRank9Desc,最大スタミナ:+180,安全落下距離:+4m,捻挫耐性
attclasscivilian,クラス:スカベンジャー
attClassCivilianDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassCivilianName,クラス:スカベンジャー
attClassCivilianRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attclassfarmer,クラス:ファーマー
attClassFarmerDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassFarmerName,クラス:ファーマー
attClassFarmerRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassFarmerRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclasshunter,クラス:ハンター
attClassHunterDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassHunterName,クラス:ハンター
attClassHunterRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassHunterRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclasslaborer,クラス:労働者
attClassLaborerDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassLaborerName,クラス:労働者
attClassLaborerRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassLaborerRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclassmechanic,クラス:メカニック
attClassMechanicDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassMechanicName,クラス:メカニック
attClassMechanicRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassMechanicRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclassscientist,クラス:サイエンティスト(科学者)
attClassScientistDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassScientistName,クラス:サイエンティスト(科学者)
attClassScientistRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassScientistRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclasssecurity,クラス:セキュリティ
attClassSecurityDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassSecurityName,クラス:セキュリティ
attClassSecurityRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassSecurityRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attclasssurvivalist,クラス:サバイバリスト
attClassSurvivalistDesc,クラスのクエスト進行状況、独自のパークを確認できます。
attClassSurvivalistName,クラス:サバイバリスト
attClassSurvivalistRank1Desc,Rank1:最初のクラスクエスト完了時にアンロック
attClassSurvivalistRank2Desc,Rank2:最後のクラスクエスト完了時にアンロック
attFortitudeRank1Desc,貧弱だが、生きている限り強くなれるだろう。
attFortitudeRank2Desc,最大体力:110,近接戦闘時のスタミナ消費量:-10%
attFortitudeRank3Desc,最大体力:120,近接戦闘時のスタミナ消費量:-15%
attFortitudeRank4Desc,最大体力:130,近接戦闘時のスタミナ消費量:-20%
attFortitudeRank5Desc,最大体力:140,近接戦闘時のスタミナ消費量:-25%
attFortitudeRank6Desc,最大体力:150,近接戦闘時のスタミナ消費量:-30%
attFortitudeRank7Desc,最大体力:160,近接戦闘時のスタミナ消費量:-35%
attFortitudeRank8Desc,最大体力:170,近接戦闘時のスタミナ消費量:-40%
attFortitudeRank9Desc,最大体力:180,近接戦闘時のスタミナ消費量:-45%
attPerceptionRank1Desc,腕が未熟で弾が命中しても効果的なダメージに期待できない。
attPerceptionRank2Desc,遠距離武器ダメージ:+5％,精度:+2％,ヘッドショットダメージ:+25％,埋蔵宝物範囲8ｍ
attPerceptionRank3Desc,遠距離武器ダメージ:+10％,精度:+4％,ヘッドショットダメージ:+40％,埋蔵宝物範囲7ｍ
attPerceptionRank4Desc,遠距離武器ダメージ:+15％,精度:+6％,ヘッドショットダメージ:+55％,埋蔵宝物範囲6ｍ
attPerceptionRank5Desc,遠距離武器ダメージ:+20％,精度:+8％,ヘッドショットダメージ:+70％,埋蔵宝物範囲5ｍ
attPerceptionRank6Desc,遠距離武器ダメージ:+25％,精度:+10％,ヘッドショットダメージ:+85％,埋蔵宝物範囲4ｍ
attPerceptionRank7Desc,遠距離武器ダメージ:+30％,精度:+12％,ヘッドショットダメージ:+100％,埋蔵宝物範囲3ｍ
attPerceptionRank8Desc,遠距離武器ダメージ:+35％,精度:+14％,ヘッドショットダメージ:+115％,埋蔵宝物範囲2ｍ
attPerceptionRank9Desc,遠距離武器ダメージ:+40％,精度:+16％,ヘッドショットダメージ:+130％,
attperks,パーク(特殊技能)
attPerksDesc,特殊技能カテゴリー
attPerksName,パーク(特殊技能)
attRecipesDesc,クラフト用のレシピを解禁するためのパークと解除条件が表示されています。
attRecipesName,パーク:クラフト
attskillsandatt,属性/スキル
attSkillsandAttDesc,属性と付属スキルカテゴリ一覧
attSkillsandAttName,属性/スキル
attStrengthRank1Desc,重い荷物を持ちたい？自ら強靱な身体になるか、誰かに持たせるかしかない。
attStrengthRank2Desc,近接・ブロックダメージ:+5％,荷物許容容量:+4％
attStrengthRank3Desc,対人・対ブロックダメージ:+10%,荷物許容容量:+4％
attStrengthRank4Desc,対人・対ブロックダメージ:+15％,荷物許容量8％
attStrengthRank5Desc,対人・対ブロックダメージ:+20％,荷物許容容量:+8％
attStrengthRank6Desc,対人・対ブロックダメージ:+25％,荷物許容量12％
attStrengthRank7Desc,対人・対ブロックダメージ:+30％,荷物許容容量:+12％
attStrengthRank8Desc,対人・対ブロックダメージ:+35％,荷物許容量16％
attStrengthRank9Desc,対人・対ブロックダメージ:+40％,荷物許容容量:+16％
atttechnology,テクノロジー
attTechnologyDesc,科学技術を再生し、活用可能にする。
attTechnologyName,テクノロジー
augerTitaniumDesc,耐久性が大幅に向上したチタン製のオーガーです。
autoTurretSteelCased,オートタレット(スチール弾用)
autoTurretSteelCasedDesc,モーションセンサー付きのスチール弾用オートタレット
backpackLarge,バックパック(大)
backpackLargeDesc,サバイバリストを極めた人だけが作れる最大容量のバックパック\n運べるアイテムの数が多くなります
backpackMedium,バックパック(中)
backpackMediumDesc,サバイバリストになれば作れる大容量のバックパック\n運べるアイテムの数が多くなります
backpackSmall,バックパック(小)
backpackSmallDesc,一般的な大きさのバックパック、無くした場合はレシピからあらためてクラフトできます。\n運べるアイテムの数が多くなります
BaitedSnareCapturedDesc,あなたは何かを捕まえました！
bakedAppleDesc,スティックに刺して焼いただけのリンゴ、焼いたおかげで安全に食べれそうです。
bananaBreadDesc,通常のパンの代わりになります。健康にも良い。
BananaDesc,この世の終わりでカリウムを摂取するならこれに決まりです！
bananaPancakesDesc,朝食にこれはちょっと・・・
BanditFactionSchematic,究極の嫌われ者
BanditFactionSchematicDesc,これを読むとあなたも今日から悪党の仲間入り！
BatterDesc,ローストディナーやパンケーキなどに使われる乳製品
batterybankSchematicDesc,この本を回路図を読むとバッテリーバンクがクラフトできるようになります。
beeHiveEmpty,ハチの巣箱(空)
beeHiveEmptyDesc,養蜂用の巣箱、蜂蜜やなぜか動物性油脂が回収できる。…あのサイズの蜂がせっせと蜜を運んでいるのか、あり得ない早さで満タンになる。
beeHiveFull,ハチの巣箱(満)
beeHiveFullDesc,中身が一杯の巣箱、あのサイズの蜂の怒りを買わない様に早々に回収した方がいいだろう。
beerSchematic,レシピ「ビール」
beerSchematicDesc,この本を読むと、ビールがクラフトできるようになります。
bigforge,大型鍛造炉
BigForgeDesc,通常の炉より大型化されてスロットが増えました。
blockcommand_callElevator,エレベーター(呼出)
blockcommand_useElevator,エレベーター(使用)
blueberryPancakesDesc,朝食にパンケーキが嫌いな人はいないでしょう？
BlueteamFactionSchematic,究極の嫌われ者（青色派閥）
BlueteamFactionSchematicDesc,これを読むとあなたも今日から青色派閥の仲間入り！
BlueteamNegativeFactionSchematic,青色派閥は信頼できないし信用してはならない。
BlueteamNegativeFactionSchematicDesc,これを読むで青色派閥の嘘やデマを拡散してください。青色派閥の評判を下げるんだ！
BlueteamPositiveFactionSchematic,青色派閥に愛と平和を
BlueteamPositiveFactionSchematicDesc,これを読むで青色派閥の好印象を拡散してください。青色派閥の評判を上げるのです！
BMEngineWarning,[FF0000]悪魔の影響で車両が使えなくなりました[-]
bottleSapDesc,樹木から採取した樹液、砂糖の代用品以外にも色々活用できる。
bowlRiverWaterDesc,この世界の溜水はお腹を壊す可能性があります、煮沸消毒すれば飲めるようになります
bowlSapDesc,樹木から採取した樹液、砂糖の代用品以外にも色々活用できる。
bowlWaterDesc,水が入ったボウル。この世界で安全に飲めることが保証されています。
BreadDesc,これでおいしいサンドイッチを作ろう！香ばしい香りが食欲をそそります。
brokenGlassTrap,トラップ:壊れたガラス
brokenGlassTrapDesc,じわじわと出血させる状態異常を与える簡単な罠
btnGenerateWorld,世界を生成
buffAnemia1Name,バフ:軽度の貧血
buffAnemia2Name,バフ:重度の貧血
buffAnemia3Name,バフ:慢性的な貧血
buffAnemia4Name,バフ:心肺停止
buffAnimalPoison1Desc,毒を有している動物に噛まれました。採血キットで治る可能性があります。\n確実に治したい場合は解毒剤や救急キットを使用して下さい。
buffAnimalPoison1Name,バフ:動物の毒
buffAnimalPoison1Tooltip,動物から毒を受けました
buffAntiradDesc,この薬を飲めば放射能に汚染されなくなります。
buffAntiradName,バフ:抗放射能薬
buffAntiradTooltip,一定時間、放射能による影響を受けなくなりました。
buffAverageDrinkDesc,並品質の飲料効果で最大HPが回復します。
buffAverageDrinkName,バフ:飲料(並品質)
buffAverageDrinkTooltip,並品質の飲料
buffAverageFoodDesc,並品質の食事効果で最大HPが回復します。
buffAverageFoodName,バフ:食事(並品質)
buffAverageFoodTooltip,並品質の食事
buffBloodDrawKit01Desc,貧血で疲れやすくなっています。栄養を摂取しましょう。
buffBloodDrawKit01Tooltip,貧血で疲れやすくなっています。栄養を摂取しましょう。
buffBloodDrawKit04Tooltip,血液の抜きすぎで生命を維持できなくなりました。
buffBurritoDesc,力がみなぎる！近接攻撃の威力が50％上昇。
buffBurritoName,バフ:ミートブリトー
buffChilliDesc,体が火照って良い気分。出血耐性が75％上昇
buffChilliName,バフ:唐辛子
buffCoffeeCakeDesc,程よい苦み。スタミナ回復量が25％上昇
buffCoffeeCakeName,バフ:コーヒーケーキ
buffDrugDiazepamDesc,この薬は神経を落ち着かせ、狙いを安定させるのに役立ちます
buffDrugDiazepamName,バフ:抗不安薬
buffDrugDiazepamTooltip,手の震えは消えたようだ
buffDrugSteroidsSideEffectDesc,副作用で近接攻撃力が10％減少。
buffDrugSteroidsSideEffectName,バフ:副作用(ステロイド)
buffDrunk1Desc,気分か高揚してきた…拳銃のダメージが300％アップし、スタン効果を受けなくなる。
buffDrunk1Name,バフ:ほろ酔い
buffDrunk1Tooltip,心地好いほろ酔い気分
buffDrunk2Desc,酔っ払ったあなたは酔っていた時のことを覚えてはいない。
buffDrunk2Name,バフ:酒酔い
buffDrunk2Tooltip,酔っ払いました。
buffExcellentDrinkDesc,最高品質の飲料効果で最大HPが回復します。
buffExcellentDrinkName,バフ:飲料(最高品質)
buffExcellentDrinkTooltip,それは素晴らしい飲み物でした！
buffExcellentFoodDesc,最高品質の食事効果で最大HPが回復します。
buffExcellentFoodName,バフ:食事(最高品質)
buffExcellentFoodTooltip,それは素晴らしい食事でした！
buffFatiguedDesc,疲労し、すべての攻撃から受けるダメージが10%増加する。ビタミンを食べると回復します。ウェルネスが3減少する。
buffGoodDrinkDesc,高品質の飲料効果で最大HPが回復します。
buffGoodDrinkName,バフ:飲料(高品質)
buffGoodDrinkTooltip,それはかなり良い飲み物でした。
buffGoodFoodDesc,高品質の食事効果で最大HPが回復します。
buffGoodFoodName,バフ:食料(健康度:高)
buffGoodFoodTooltip,それはかなり良い食事でした。
buffHazmatCompleteDesc,防護服によって汚染地帯の放射能からの影響を無効化することが出来ました。\nマップ外の放射能汚染は無効化できません。
buffHazmatCompleteName,バフ:放射線保護
buffHazmatCompleteTooltip,汚染地帯の放射能に対する耐性を得ました。
buffIllFoodPoisoning01Desc,胃が痛い・・・
buffIllFoodPoisoning01Name,バフ:食中毒
buffJerkyDesc,熱と冷気に対する耐性が 25% 上昇する。 スタミナ回復のための食料と水の消費量を25%減少させる。
buffJerkyName,バフ:ジャーキー
buffOrangeTeaDesc,ビタミンはどれも体にいいものばかりでしょう。感染症や食中毒に対する抵抗力が50％アップします。
buffOrangeTeaName,バフ:オレンジティー
buffPearSmoothieDesc,洋ナシのスムージー\n効果: 水分値増加
buffPearSmoothieName,バフ:洋ナシスムージー
buffPearToastDesc,洋ナシのトースト\n効果: 食料値増加(少)
buffPearToastName,バフ:洋ナシトースト
buffPizzaDesc,効果: 食料値増加
buffPizzaName,バフ:スタッフドピザ
buffPowerArmorCompleteDesc,効果: 放射線保護(マップ境界除く)
buffPowerArmorCompleteName,バフ:パワーアーマー
buffPowerArmorCompleteTooltip,マップの端にある境界線の放射線は防げませんが、それ以外の放射線はほとんど防げます。
buffRadiationWeakDesc,放射能汚染を受けました。
buffRadiationWeakName,バフ:放射線被害
buffRadiationWeakTooltip,放射能汚染を受けました。
buffRadResistDisplayDesc,現在の放射能耐性
buffRadResistDisplayName,バフ:放射線耐性
buffRottenFoodDesc,腐った食べ物は身体に良くない。
buffRottenFoodName,バフ:腐敗食品
buffRottenFoodTooltip,この食べ物腐ってる・・・
buffSmoothieDesc,効果: 感染症、食中毒、赤痢、肺炎の抵抗力50%増加
buffSmoothieName,バフ:フルーツスムージー
buffSterileBandageDesc,誰かが治療してくれました。
buffSterileBandageName,バフ:ヒーリング
buffSterileBandageTooltip,誰かが治療してくれました。
buffStewDesc,効果: 感染症、食中毒、赤痢、肺炎の抵抗力50%増加
buffStewName,バフ:シチュー
buffStoned1Desc,あなたは良いバズが起こっているのです。あなたは悪い影響を受けていませんが、あなたのストレスはわずかに減少し、続いています。\n\n和訳修正中:buffStoned1Desc
buffStoned1Name,バフ:軽くハイになっている
buffStoned1Tooltip,素敵なバズ\n\n和訳修正中:buffStoned1Tooltip
buffStoned2Desc,あなたは頭があふれていると感じています。あなたはあなたの食べ物と水の消費に対する10％のペナルティを苦しんでいますが、あなたのストレスはわずかに減少し、続いています。\n\n和訳修正中:buffStoned2Desc
buffStoned2Name,バフ:そこそこハイになっている
buffStoned2Tooltip,あなたの頭はファジィを感じます\n\n和訳修正中:buffStoned2Tooltip
buffStoned3Desc,あなたはかなりくって焼きました。あなたはあなたの食べ物や水の消費量に20％のペナルティを苦しめますが、あなたのストレスはわずかに減少し、続いています。あなたはまたSTUNの影響にも免疫されています。\n\n和訳修正中:buffStoned3Desc
buffStoned3Name,バフ:相当ハイになっている
buffStoned3Tooltip,あなたはかなりめちゃくちゃになっています\n\n和訳修正中:buffStoned3Tooltip
buffTacoDesc,おいしいタコスは繊細なものです！捻挫に免疫し、骨折骨に対して50％の抵抗を得ることができます。\n\n和訳修正中:buffTacoDesc
buffTacoName,バフ:おいしいタコス
buffTheAssassinDesc,悪名高い銃は悪名高い特性を持っています。ヘッドショットダメージを500％増加させます。\n\n和訳修正中:buffTheAssassinDesc
buffTheAssassinName,バフ:暗殺者
buffTheAssassinTooltip,一発で一人殺す...\n\n和訳修正中:buffTheAssassinTooltip
buffTomatoJuiceDesc,それはあなたにとって良い必要があります、正しい？スタミナを20％\ NINCRESEにするための食料および水の使用量を減少させる抵抗性を最大50％減少させる\n\n和訳修正中:buffTomatoJuiceDesc
buffTomatoJuiceName,バフ:トマトジュース
buffTrailMixDesc,スタミナを15％再生するための食品と水の使用量を減らす\n\n和訳修正中:buffTrailMixDesc
buffTrailMixName,バフ:トレイルミックス
buffWatchTimeDesc,あなたはあなたの手袋の中の時計MODアイテムを着ています。それはあなたに時間を教えてくれます\n\n和訳修正中:buffWatchTimeDesc
buffWatchTimeName,バフ:時計
buffZombieTrackerAcquiredDesc,あなたはゾンビのトラックを見つけました。\n\n和訳修正中:buffZombieTrackerAcquiredDesc
buffZombieTrackerName,バフ:ゾンビトラッキング
carrotDesc,彼らのようなウサギは、そうでなければならない、そうですね。\n\n和訳修正中:carrotDesc
CCTVCam,CCTVカメラ
CCTVCamDesc,カメラとモニターを正しく接続すれば視界外の様子を見ることができます（ただしパソコンへの負荷か高まる可能性があります）
CCTVLinkTool,CCTVリンクツール
CCTVLinkToolDesc,CCTVカメラをCCTV画面にリンクするためのツール。\n\n和訳修正中:CCTVLinkToolDesc
CCTVScreen,CCTVスクリーン
CCTVScreenDesc,カメラとモニターを正しく接続すれば視界外の様子を見ることができます（ただしパソコンへの負荷か高まる可能性があります）
cementMixerSchematicDesc,このメチュッチを読むと、このアイテムを作るために必要なPERKのロックが解除されます。\ Nこの本は、コンクリートのミキシングPerkをロック解除します。\n\n和訳修正中:cementMixerSchematicDesc
chainLinkFenceBlockVariantHelper,チェーンリンク・フェンス(変形)
chainsawTitaniumDesc,労働者のみのツール他の部分と組み立てて、完全なチタンチェーンソーを作成します。\n\n和訳修正中:chainsawTitaniumDesc
chemistryStationSchematicDesc,回路図を読むこのアイテムを作り出すために必要なPERKのロックを解除します。\ Nこの本は化学ステーションPerkをロック解除します。\n\n和訳修正中:chemistryStationSchematicDesc
chickenCoopDesc,野外に設置して暫くすると卵を回収できます。回収後は動物のエサを手にしてこれを右クリックすれば再び卵をできる様になります。
chickenNestDesc,チキンはあなたをプレゼントに残しました。\n\n和訳修正中:chickenNestDesc
ClassPaperCivilianDesc,黙示録の前から生き抜く為の技能を身に付けた人もいますが、あなたは今からそれを学ばなければならない。
ClassPaperDesc,このアイテムを使用して、選択したいクラスのスターター項目を作ります。\n\n和訳修正中:ClassPaperDesc
ClassPaperFarmerDesc,世紀末の前、あなたは農家であり様々な植物を育んできました。その手は荒れた世界に新しい命を宿すだろう。
ClassPaperHunterDesc,君はベテランの猟師でライフルの扱いも獲物の追跡も優れている。さぁ、終わりなき狩猟期の始まりだ。
ClassPaperLaborerDesc,前世でも現世でもあなたの建築技能とそれを求める需要は変わりません。さてと、世界を立て直しますか。
ClassPaperMasterDesc,このアイテムを使用して、選択したいクラスのスターター項目を作ります。\n\n和訳修正中:ClassPaperMasterDesc
ClassPaperMechanicDesc,エンジンの爆音は文明の鼓動。新天地でも轟かせようじゃないか！
ClassPaperScientistDesc,昔は研究室の引きこもりでした。今は荒廃した世界という野外実験室で研究成果を駆使してます。
ClassPaperSecurityDesc,警官？軍人？傭兵？それとも…銃器店の店員だったの？いずれにしても銃や防具の扱いに長けているね。
ClassPaperSurvivalistDesc,自然と触れ合うのが好きなだけなのに…世界崩壊後の過酷な環境で生き延びる術もいつの間にか身についていた。
clubTitaniumDesc,アイアンクラブのように、より耐久性があり、より多くのダメージを与えます。\n\n和訳修正中:clubTitaniumDesc
cncMachine,旋盤
cntAmbulanceTruck01,救急車
cntAnimalFood,動物用食料貯蔵庫
cntAnimalFoodDesc,箱から食べる動物のための食品を保管するために使用されます。\n\n和訳修正中:cntAnimalFoodDesc
cntAnimalWater,動物用飲料貯蔵庫
cntAnimalWaterDesc,飲み物に動物のための水分を保管するために使用されます。\n\n和訳修正中:cntAnimalWaterDesc
cntBuriedChestT3,埋もれた物資(Tier3)
cntBuriedChestT4,埋もれた物資(Tier4)
cntBuriedChestT5,埋もれた物資(Tier5)
cntCar03SedanDamage0,セダン（ホワイト）
cntCar03SedanDamage1,セダン（ホワイト）
cntChickennest,鶏の巣
cntChickennestDesc,これは鶏に卵を産むために必要です。\n\n和訳修正中:cntChickennestDesc
cntServiceTruckMoPower,MoPower'sサービストラック
cntServiceTruckWorkingStiffTools,WorkingStiffTool'sサービストラック
cntWoodFurnitureBlockVariantHelper2,
cntWoodFurnitureBlockVariantHelper2Desc,
CoconutDesc,液体や食べ物の良い源。\n\n和訳修正中:CoconutDesc
coconutWaterDesc,水分補給の素晴らしい源とそれはあなたにとって良いです！\n\n和訳修正中:coconutWaterDesc
codeinePillsDesc,あなたの標準的な鎮痛剤よりもはるかに強くなります。科学者クラスに固有のものです。\n\n和訳修正中:codeinePillsDesc
coilBatteryDesc,コイルバッテリーは、CRAFTING CIOLOUNDSで使用されています。コイルガンにとって非常に重要です。\n\n和訳修正中:coilBatteryDesc
combatAxeSchematic,設計図「コンバット・アクス」
combatAxeSchematicDesc,戦闘斧の構築方法についての注意事項\n\n和訳修正中:combatAxeSchematicDesc
Commercial_Door_2_v1(Unlocked),ドア(アンロック)
Commercial_Door_2_v2(Unlocked),ドア(アンロック)
Commercial_Door_2_v3(Unlocked),ドア(アンロック)
Commercial_Door_4_v1(Unlocked),ドア(アンロック)
Commercial_Door_4_v2(Unlocked),ドア(アンロック)
Commercial_Door_4_v3(Unlocked),ドア(アンロック)
Commercial_Door_v1(Unlocked),ドア(アンロック)
Commercial_Door_v2(Unlocked),ドア(アンロック)
Commercial_Door_v3(Unlocked),ドア(アンロック)
commercialDoor1_v1_locked,業務用ドア(ロック中)
commercialDoor1_v2_locked,業務用ドア(ロック中)
commercialDoor1_v3_locked,業務用ドア(ロック中)
commercialDoor2_v1_locked,業務用ドア(ロック中)
commercialDoor2_v2_locked,業務用ドア(ロック中)
commercialDoor2_v3_locked,業務用ドア(ロック中)
commercialDoor4_v1_locked,業務用ドア(ロック中)
